timestamp,price,predicted_price,price_change_pct,signal,signal_type,confidence,portfolio_value,balance,btc_holdings,executed,total_cost,fee,slippage,effective_price,reason_not_executed
2025-03-17 16:00:00,83448.86,72455.68865054219,-13.173542873393135,SELL,regular,0.6,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83448.86,
2025-03-17 19:00:00,84482.55,73672.94617044447,-12.795072863633417,SELL,regular,0.6,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84482.55,
2025-03-17 22:00:00,84061.19,74346.26817713147,-11.556964424211143,SELL,regular,0.6,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84061.19,
2025-03-18 01:00:00,83161.97,77746.65326435716,-6.511770627418814,SELL,regular,0.6695840091772473,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83161.97,
2025-03-18 04:00:00,82989.11,77528.38743927941,-6.580047141993198,SELL,regular,0.8,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82989.11,
2025-03-18 07:00:00,83163.81,77678.7159769546,-6.595529982387051,SELL,strong,0.9500000000000001,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83163.81,
2025-03-18 10:00:00,82819.65,77272.17698314709,-6.698257016122268,SELL,regular,0.8,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82819.65,
2025-03-18 13:00:00,81366.64,80156.22785877979,-1.4876024636389158,SELL,strong,0.9500000000000001,100000.0,100000.0,0.0,False,0.0,0.0,0.0,81366.64,
2025-03-18 16:00:00,81851.51,80141.05680218419,-2.0897026796644376,SELL,regular,0.8,100000.0,100000.0,0.0,False,0.0,0.0,0.0,81851.51,
2025-03-18 19:00:00,82317.21,82500.30317396185,0.22242393050230813,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82317.21,
2025-03-18 22:00:00,82395.74,82136.57874262433,-0.3145323500652728,SELL,regular,0.4,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82395.74,
2025-03-19 01:00:00,82598.7,82123.51484064687,-0.5752937508134291,SELL,regular,0.43147031311007183,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82598.7,
2025-03-19 04:00:00,82952.87,82880.83558099641,-0.08683776583448292,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82952.87,
