timestamp,price,predicted_price,price_change_pct,signal,signal_type,confidence,portfolio_value,balance,btc_holdings,executed,open_positions,max_position_age
2025-03-22 17:00:00,84238.83,82151.5854668032,-2.4777700891581764,SELL,regular,0.6,100000.0,100000.0,0.0,False,0,0
2025-03-22 20:00:00,83944.69,82800.71460777338,-1.3627727879233629,SELL,regular,0.6,100000.0,100000.0,0.0,False,0,0
2025-03-22 23:00:00,83840.59,83199.91660607727,-0.764156590408926,SELL,regular,0.509437726939284,100000.0,100000.0,0.0,False,0,0
2025-03-23 02:00:00,84233.78,85685.75189117633,1.7237406313433088,BUY,regular,0.6,99944.58350354753,83178.16,0.1990463149528315,True,1,0
2025-03-23 05:00:00,84230.1,85745.70774465514,1.7993659566534235,BUY,regular,0.6,99943.8510131085,83178.16,0.1990463149528315,False,1,3
2025-03-23 08:00:00,84347.12,86240.04163537655,2.2442042305375116,BUY,regular,0.6,99967.14341288428,83178.16,0.1990463149528315,False,1,6
2025-03-23 11:00:00,84679.99,86468.66622975472,2.112277327565473,BUY,regular,0.6,100033.39995974263,83178.16,0.1990463149528315,False,1,9
2025-03-23 14:00:00,84899.76,86882.15620381956,2.334984461463213,BUY,regular,0.6,100077.14436837981,83178.16,0.1990463149528315,False,1,12
2025-03-23 17:00:00,85017.66,86702.96331936706,1.982297935943022,BUY,regular,0.6,100100.61192891275,83178.16,0.1990463149528315,False,1,15
2025-03-23 20:00:00,85102.62,87020.38819419075,2.2534772656714335,BUY,regular,0.6,100117.52290383114,83178.16,0.1990463149528315,False,1,18
2025-03-23 23:00:00,86082.5,87265.94438174149,1.3747792893346344,BUY,regular,0.6,100312.56440692712,83178.16,0.1990463149528315,False,1,21
2025-03-24 02:00:00,85883.16,87158.27475278622,1.4847087051596837,BUY,regular,0.6,100183.14828747434,83376.70382370932,0.195689637686422,True,1,0
2025-03-24 05:00:00,86899.73,87079.38910863486,0.20674299981698852,HOLD,regular,0.0,100382.08050245722,83376.70382370932,0.195689637686422,False,1,3
2025-03-24 08:00:00,87416.35,86707.65463242578,-0.8107126041915799,SELL,regular,0.6349579792952589,100483.17768307877,83376.70382370932,0.195689637686422,False,1,6
2025-03-24 11:00:00,87689.52,87026.29787039345,-0.7563299806026473,SELL,regular,0.5818795062639017,100536.63422140558,83376.70382370932,0.195689637686422,False,1,9
2025-03-24 14:00:00,87961.9,87330.05042429049,-0.7183218822120805,SELL,regular,0.546959857306033,100589.9361649186,83376.70382370932,0.195689637686422,False,1,12
2025-03-24 17:00:00,88461.88,87091.855276787,-1.5487176207571056,SELL,regular,0.6690713817989942,100687.77706996906,83376.70382370932,0.195689637686422,False,1,15
2025-03-24 20:00:00,87832.0,87090.98212978157,-0.8436764165889822,SELL,regular,0.5762427591958362,100564.51608098314,83376.70382370932,0.195689637686422,False,1,18
2025-03-24 23:00:00,87498.16,87182.18165653563,-0.36112570077402306,HOLD,regular,0.0,100499.1870523379,83376.70382370932,0.195689637686422,False,1,21
2025-03-25 02:00:00,86854.94,86838.0069046707,-0.019495834467556608,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-25 05:00:00,86656.07,86560.18987642141,-0.11064444023205075,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-25 08:00:00,86714.79,86668.13801653584,-0.05379933857206051,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-25 11:00:00,87370.43,87674.06843397094,0.34752997549737086,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-25 14:00:00,88022.4,87743.1006499794,-0.31730485651446916,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-25 17:00:00,87937.27,87765.07120367119,-0.19582003890820354,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-25 20:00:00,87849.98,87841.46165823306,-0.009696464093597153,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-25 23:00:00,87392.87,87886.70687726147,0.5650768503900577,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-26 02:00:00,87324.6,87768.49248111392,0.5083246658031242,HOLD,regular,0.0,100339.32234010549,100339.32234010549,0.0,False,0,0
2025-03-26 05:00:00,87520.35,88157.76827722625,0.7283086473331549,BUY,regular,0.4855390982221032,100290.53695893816,85530.37682981897,0.16864832155172127,True,1,0
2025-03-26 08:00:00,87959.73,88369.64155498553,0.4660218431611082,HOLD,regular,0.0,100364.63765846155,85530.37682981897,0.16864832155172127,False,1,3
2025-03-26 11:00:00,87954.96,88330.49448904244,0.4269622645981889,HOLD,regular,0.0,100363.83320596775,85530.37682981897,0.16864832155172127,False,1,6
2025-03-26 14:00:00,86773.14,87386.63389129375,0.7070089791538609,BUY,regular,0.48715912593727423,100164.5212465915,85530.37682981897,0.16864832155172127,False,1,9
2025-03-26 17:00:00,86569.99,87145.01507433892,0.6642314205406732,BUY,regular,0.4672481690767541,100130.26034006826,85530.37682981897,0.16864832155172127,False,1,12
2025-03-26 20:00:00,87280.0,88922.34310982288,1.8816946721160355,BUY,regular,0.6,100250.0023348532,85530.37682981897,0.16864832155172127,False,1,15
2025-03-26 23:00:00,86909.17,89132.71007219974,2.558464281962126,BUY,regular,0.6,100187.46247777218,85530.37682981897,0.16864832155172127,False,1,18
2025-03-27 02:00:00,87575.39,89508.05573031196,2.2068594045792516,BUY,regular,0.6,100299.81936255636,85530.37682981897,0.16864832155172127,False,1,21
2025-03-27 05:00:00,87314.72,89306.3558800068,2.280985245107351,BUY,regular,0.6,100170.86487943557,83366.48104581203,0.19245762723196647,True,1,0
2025-03-27 08:00:00,87434.82,89554.58636111734,2.4243960942760947,BUY,regular,0.6,100193.97904046612,83366.48104581203,0.19245762723196647,False,1,3
2025-03-27 11:00:00,86943.52,89022.15938591072,2.3907927651315695,BUY,regular,0.6,100099.42460820706,83366.48104581203,0.19245762723196647,False,1,6
2025-03-27 14:00:00,87297.33,89423.55903053143,2.435617481693224,BUY,regular,0.6,100167.518041298,83366.48104581203,0.19245762723196647,False,1,9
2025-03-27 17:00:00,86913.05,88848.84643032383,2.227279367510202,BUY,regular,0.6,100093.5604243053,83366.48104581203,0.19245762723196647,False,1,12
2025-03-27 20:00:00,87307.57,89356.68233546683,2.347004200743215,BUY,regular,0.6,100169.48880740085,83366.48104581203,0.19245762723196647,False,1,15
2025-03-27 23:00:00,87232.01,89250.43494434707,2.3138581173895645,BUY,regular,0.6,100154.9467090872,83366.48104581203,0.19245762723196647,False,1,18
2025-03-28 02:00:00,86987.77,89082.2633708974,2.4078021208008877,BUY,regular,0.6,100107.94085821207,83366.48104581203,0.19245762723196647,False,1,21
2025-03-28 05:00:00,86059.02,88103.02871717182,2.3751243241810314,BUY,regular,0.637348730152082,99838.49623569897,82419.26177730472,0.20241032791675115,True,1,0
2025-03-28 08:00:00,85213.87,87943.68250161293,3.203483777480044,BUY,regular,0.6738918239477565,99667.42914706013,82419.26177730472,0.20241032791675115,False,1,3
2025-03-28 11:00:00,85255.26,88302.98852403593,3.574827552031317,BUY,regular,0.6499265734504125,99675.8069105326,82419.26177730472,0.20241032791675115,False,1,6
2025-03-28 14:00:00,84172.01,87957.6528583446,4.497507970101475,BUY,regular,0.6928187990763993,99361.89563312398,81034.53349239353,0.2177370142489225,True,1,0
2025-03-28 17:00:00,84008.45,87666.22624408433,4.354057531217795,BUY,regular,0.680755649155961,99326.28256707342,81034.53349239353,0.2177370142489225,False,1,3
2025-03-28 20:00:00,83794.41,87627.35727373089,4.574227891491667,BUY,regular,0.6880233109199955,99279.67813654359,81034.53349239353,0.2177370142489225,False,1,6
2025-03-28 23:00:00,84424.38,87815.38638493909,4.016619825859646,BUY,regular,0.6166459801892747,99416.84592340997,81034.53349239353,0.2177370142489225,False,1,9
2025-03-29 02:00:00,83851.4,87379.9390561764,4.208086038129843,BUY,regular,0.6506709020401293,99292.08696898563,81034.53349239353,0.2177370142489225,False,1,12
2025-03-29 05:00:00,84012.64,87508.67950195882,4.161325607621446,BUY,regular,0.6271409499131686,99327.19488516313,81034.53349239353,0.2177370142489225,False,1,15
2025-03-29 08:00:00,83934.95,87520.57230353537,4.271906164875747,BUY,regular,0.620114869319432,99310.27889652613,81034.53349239353,0.2177370142489225,False,1,18
2025-03-29 11:00:00,82293.56,87449.7912175965,6.265655802952875,BUY,regular,0.694698004697054,98856.67268062368,80589.08634934039,0.2219807519723694,True,1,0
2025-03-29 14:00:00,82504.01,87030.16546169635,5.485982392487777,BUY,regular,0.6552016025465467,98903.38852987628,80589.08634934039,0.2219807519723694,False,1,3
2025-03-29 17:00:00,82332.63,87238.87449205329,5.9590523126168655,BUY,regular,0.6539820431127993,98865.34546860325,80589.08634934039,0.2219807519723694,False,1,6
2025-03-29 20:00:00,82511.17,87116.69834689533,5.5817028735567895,BUY,regular,0.6265262190253982,98904.97791206039,80589.08634934039,0.2219807519723694,False,1,9
2025-03-29 23:00:00,82648.54,87401.3778480414,5.750661594314202,BUY,regular,0.6075165364329258,98935.47140795883,80589.08634934039,0.2219807519723694,False,1,12
2025-03-30 02:00:00,83330.0,87510.66294337393,5.016996211897191,BUY,regular,0.6,99086.74241119793,80589.08634934039,0.2219807519723694,False,1,15
2025-03-30 05:00:00,82958.3,87234.72764639121,5.154912343178694,BUY,regular,0.6,99004.2321656898,80589.08634934039,0.2219807519723694,False,1,18
2025-03-30 08:00:00,83378.09,87421.92585870737,4.849998193419128,BUY,regular,0.6,99097.41746556028,80589.08634934039,0.2219807519723694,False,1,21
2025-03-30 11:00:00,83111.76,87192.98213403592,4.910523052376613,BUY,regular,0.6,98946.53580320757,82347.5419875335,0.19971895452188793,True,1,0
2025-03-30 14:00:00,82803.28,87128.03004411125,5.222921174271417,BUY,regular,0.6,98884.92650011665,82347.5419875335,0.19971895452188793,False,1,3
2025-03-30 17:00:00,82415.53,87226.45751606526,5.83740408642068,BUY,regular,0.6133218955641899,98807.4854755008,82347.5419875335,0.19971895452188793,False,1,6
2025-03-30 20:00:00,82554.73,87192.32546013905,5.6176011479161225,BUY,regular,0.6,98835.28635397024,82347.5419875335,0.19971895452188793,False,1,9
2025-03-30 23:00:00,82389.99,87310.58381098743,5.972319951716738,BUY,regular,0.6010172987153364,98802.3846534023,82347.5419875335,0.19971895452188793,False,1,12
2025-03-31 02:00:00,81922.3,87605.85701419797,6.9377410231377405,BUY,regular,0.6187118509429799,98708.97809556196,82347.5419875335,0.19971895452188793,False,1,15
2025-03-31 05:00:00,82166.99,87707.44260939112,6.742917818203041,BUY,regular,0.6,98757.84732654392,82347.5419875335,0.19971895452188793,False,1,18
2025-03-31 08:00:00,81899.15,87691.90662533593,7.073036320078952,BUY,regular,0.6013936079277412,98704.35460176479,82347.5419875335,0.19971895452188793,False,1,21
2025-03-31 11:00:00,82205.51,87786.48764309053,6.789055433255671,BUY,regular,0.6,98677.99029795712,82124.04692436973,0.2013726740894545,True,1,0
2025-03-31 14:00:00,83499.18,88214.29318419023,5.646897591317949,BUY,regular,0.6,98938.50008524643,82124.04692436973,0.2013726740894545,False,1,3
2025-03-31 17:00:00,82680.34,87270.58508900685,5.551797548252532,BUY,regular,0.6,98773.60808479502,82124.04692436973,0.2013726740894545,False,1,6
2025-03-31 20:00:00,82431.32,87550.41443279553,6.210132790298059,BUY,regular,0.6,98723.46226149326,82124.04692436973,0.2013726740894545,False,1,9
2025-03-31 23:00:00,82550.01,87351.21528572196,5.8161171461056975,BUY,regular,0.6,98747.36318418094,82124.04692436973,0.2013726740894545,False,1,12
2025-04-01 02:00:00,83100.0,88093.4633389055,6.008981153917562,BUY,regular,0.6,98858.1161412034,82124.04692436973,0.2013726740894545,False,1,15
2025-04-01 05:00:00,83006.67,87934.58444238437,5.936769228767241,BUY,regular,0.6,98839.32202953062,82124.04692436973,0.2013726740894545,False,1,18
