timestamp,price,predicted_price,price_change_pct,signal,signal_type,confidence,portfolio_value,balance,btc_holdings,executed,total_cost,fee,slippage,effective_price,reason_not_executed,portfolio_change,open_positions,stop_loss_price,take_profit_price
2025-04-01 00:00:00,82651.1,89615.77265854801,8.426594030264576,BUY,regular,0.6,99972.70384903775,85988.1,0.16920045648560925,True,11.899999999999999,8.399999999999999,0.7,82671.76277500001,,-27.296150962254615,1,81431.68633337501,86391.992099875
2025-04-01 16:00:00,85119.99,89617.84135812857,5.284130505805471,BUY,regular,0.75,100358.63442808323,69660.78688115602,0.3606420483241034,True,13.866429685784475,9.788068013494923,0.8156723344579104,85141.26999750001,,-31.80673596727138,2,83864.1509475375,88972.62714738751
2025-04-02 08:00:00,84677.04,89780.0612940614,6.026452145778125,BUY,regular,0.6,100171.53759303811,55621.018888891194,0.5261227683932613,True,11.923667675900585,8.416706594753354,0.7013922162294463,84698.20926,,-27.35043973993743,3,83427.7361211,88509.6286767
2025-04-03 00:00:00,83227.55,89892.15984892054,8.007696789008605,HOLD,max_positions_reached,0.0,99531.07989846682,85448.94044628795,0.16920045648560927,False,0.0,0.0,0.0,83227.55,,122.15199698705692,1,,
2025-04-03 16:00:00,81830.56,89438.60871156778,9.297319621872052,BUY,regular,0.6,99267.60491921689,71535.86517858363,0.3388922150921765,True,11.816070317778555,8.340755518431921,0.6950629598693269,81851.01764,,-27.103633544102195,2,80623.2523754,85534.3134338
2025-04-04 08:00:00,84415.99,89667.07806063851,6.220489815541467,BUY,strong,0.9,100104.73644847694,51490.083331013884,0.5758938930582115,True,17.02444379321005,12.017254442265918,1.0014378701888265,84437.09399750001,,-39.0505704057141,3,83170.5375875375,88236.7632273875
2025-04-05 00:00:00,83787.6,89811.48100965923,7.18946599456151,HOLD,max_positions_reached,0.0,99742.85048501809,51490.083331013884,0.5758938930582115,False,0.0,0.0,0.0,83787.6,,0.0,3,,
2025-04-05 16:00:00,82739.96,89880.94840206503,8.630640384724648,HOLD,max_positions_reached,0.0,99204.48630207163,85164.1969826346,0.16969175860656724,False,0.0,0.0,0.0,82739.96,,64.96529517704039,1,,
2025-04-06 08:00:00,83034.26,89609.3688168631,7.918549303459935,BUY,regular,0.6687175929873969,99225.33922614122,70232.81757351177,0.3491633652498314,True,12.680893738077042,8.951219109230854,0.7459349257692378,83055.018565,,-29.08736048832361,2,81809.193286525,86792.494400425
2025-04-07 00:00:00,78327.87,86909.4358678089,10.955954589099525,BUY,regular,0.775505800230261,98533.18286566468,82157.27793402287,0.20906868693916741,True,13.93484368882901,9.836360250938124,0.8196966875781772,78347.4519675,,951.1426101016114,1,77172.24018798751,81873.0873060375
