timestamp,price,predicted_price,price_change_pct,signal,signal_type,confidence,portfolio_value,balance,btc_holdings,executed,total_cost,fee,slippage,effective_price,reason_not_executed,portfolio_change,btc_ratio,cash_ratio,position_size_used,blocked_by_position_management
2025-03-22 09:00:00,84360.01,80950.28058537832,-4.041878864904916,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84360.01,,0.0,0.0,1.0,0.0,False
2025-03-22 12:00:00,84232.39,81743.95617329873,-2.954248154066701,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84232.39,,0.0,0.0,1.0,0.0,False
2025-03-22 15:00:00,84109.09,82446.23938927166,-1.9770165278548752,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84109.09,,0.0,0.0,1.0,0.0,False
2025-03-22 18:00:00,84239.14,86322.8179116529,2.4735270465165087,BUY,regular,0.6,99965.21373646341,88986.2,0.13033150310489172,True,13.800000000000002,6.6000000000000005,5.0,84294.27834618182,,-34.786263536589104,0.10982834254130837,0.8901716574586915,0.11000000000000001,False
2025-03-22 21:00:00,84010.87,86289.53244666096,2.7123423988597724,BUY,regular,0.6,99903.941943221,79787.57844500415,0.23944953192624763,True,12.349018029573017,5.511763522179762,5.0,84073.39848446049,,-31.52102102866047,0.2013570546560584,0.7986429453439415,0.09192204913537566,False
2025-03-23 00:00:00,84007.0,86309.82736830437,2.7412327166835695,BUY,regular,0.6,99874.22380115422,72106.15761394004,0.3305446711251941,True,11.13622768270512,4.602170762028841,5.0,84078.56273177832,,-28.791472378215985,0.27803035788793057,0.7219696421120695,0.0767773082962543,False
2025-03-23 03:00:00,84224.39,86355.54146782652,2.5303257973450717,BUY,regular,0.6,99919.57611664326,65695.55567229138,0.4063433459637035,True,10.12038524512284,3.84028893384213,5.0,84307.03023203531,,-26.50479056686163,0.34251566884550977,0.6574843311544902,0.06403934499788694,False
2025-03-23 06:00:00,84242.24,86580.40591118991,2.7755267561616432,BUY,regular,0.7542466666666733,99900.87813699534,59592.561049522,0.47848106944299346,True,9.87449610133443,3.6558720760008216,5.0,84328.21743138513,,-25.95120837338618,0.40348311085111804,0.5965168891488819,0.060975817671637476,False
2025-03-23 09:00:00,84325.66,86589.03325321042,2.6840860222267082,BUY,regular,0.8,99916.58687290532,54459.06367338647,0.5390710632981569,True,9.099518286279402,3.0746387147095513,5.0,84424.80373559325,,-24.206154902931303,0.45495472395730635,0.5450452760426937,0.05127433656068151,False
2025-03-23 12:00:00,84725.24,86696.32495957048,2.3264436424971806,BUY,regular,0.8,100107.99497598021,49443.45894941203,0.5979863382690704,True,9.00527955553512,3.0039596666513404,5.0,84826.7986075034,,-23.99391239779652,0.5060987989892772,0.4939012010107228,0.05,False
2025-03-23 15:00:00,85189.41,86794.6809225803,1.8843550185173217,BUY,strong,0.8784982015288033,100361.54553799167,44415.16541218952,0.656729282733642,True,9.015422491784582,3.011566868838437,5.0,85291.31009530314,,-24.01675662289199,0.5574483715440965,0.4425516284559034,0.05,False
2025-03-23 18:00:00,84972.78,86844.28991046222,2.202481677617492,BUY,strong,0.95,100194.87925363977,39174.53392925352,0.7181163817917484,True,9.185157060700234,3.1388677955251763,5.0,85070.98802423317,,-24.39901983330492,0.6090166062271049,0.39098339377289515,0.052199999999999996,False
2025-03-23 21:00:00,85179.99,87218.52346007162,2.3932069727545353,BUY,regular,0.6604417098191342,100319.66716560813,34148.33617459201,0.7768412627310254,True,9.013747205964433,3.010310404473325,5.0,85281.91424394975,,-24.01298350270372,0.6596047700375661,0.34039522996243393,0.05,False
2025-03-24 00:00:00,86021.74,87207.59048684582,1.3785474309701375,BUY,regular,0.7360049543904016,100949.5035689343,29090.618566734473,0.8353572597136472,True,9.038942931940479,3.0292071989553593,5.0,86124.1366782206,,-24.069729577662656,0.7118299987788482,0.2881700012211519,0.05,False
2025-03-24 03:00:00,86532.07,87358.81063223722,0.9554152954357982,BUY,regular,0.629134428500892,101351.7054731127,24012.7729623127,0.8937603423886656,True,9.05503245757136,3.0412743431785194,5.0,86634.73412287698,,-24.10596617127885,0.7630748012554857,0.2369251987445143,0.05,False
2025-03-24 06:00:00,87113.37,87373.45004186482,0.2985535307207478,HOLD,regular,0.0,101871.24836014322,24012.7729623127,0.8937603423886656,False,0.0,0.0,0.0,87113.37,,0.0,0.7642831186536473,0.23571688134635266,0.0,False
2025-03-24 09:00:00,87163.73,87050.96104995241,-0.12937600312375644,HOLD,regular,0.0,101916.2581309859,24012.7729623127,0.8937603423886656,False,0.0,0.0,0.0,87163.73,,0.0,0.7643872194419585,0.23561278055804158,0.0,False
2025-03-24 12:00:00,87328.1,86375.97214686677,-1.09028806665121,SELL,strong,0.8108785119432462,102041.71070791343,35446.12870266542,0.7625905293399033,True,14.163848440722894,6.872886330542171,5.0,87272.5158534596,,-21.45481055091659,0.652630983381617,0.34736901661838304,0.14676172887487668,False
2025-03-24 15:00:00,88350.01,86599.36976389072,-1.9814827820724377,SELL,regular,0.7813801587598974,102805.94775909513,40492.90352205043,0.7052975346244409,True,9.049469324832847,3.0371019936246344,5.0,88245.06929370479,,-15.061836656037485,0.6061229490638291,0.3938770509361708,0.07512943383266925,False
2025-03-24 18:00:00,88464.38,86543.73172806072,-2.1710978723179664,SELL,regular,0.6161415936227397,102872.93759794685,44154.26866514639,0.6637549365383045,True,7.94003214662339,2.2050241099675425,5.0,88326.32873934547,,-13.675040183283272,0.5707882977181783,0.42921170228182176,0.05890081284384054,False
2025-03-24 21:00:00,88100.01,86654.70450448585,-1.6405281855406617,SELL,regular,0.75,102617.54932167579,47676.62281969297,0.6236199803153577,True,7.828712035672943,2.121534026754708,5.0,87957.81031807646,,-13.535890044586267,0.5353950358896137,0.46460496411038626,0.060466527649893735,False
2025-03-25 00:00:00,87599.99,86717.26054394277,-1.0076821424948035,SELL,strong,0.8538410712474018,102291.81494150059,51574.62851999919,0.5789633814056531,True,8.129534094339311,2.347150570754483,5.0,87470.50446673589,,-13.91191761790833,0.49580884306829365,0.5041911569317064,0.07160867245966414,False
2025-03-25 03:00:00,86520.88,86201.87941668872,-0.3686978025550375,SELL,regular,0.75,101654.54514592959,54066.74496128648,0.5500152123353704,True,7.003696849879709,1.5027726374097823,5.0,86330.85332856824,,-12.504621062340448,0.46813253766792934,0.5318674623320706,0.05,False
2025-03-25 06:00:00,86534.5,86427.4865717142,-0.12366562271210357,HOLD,regular,0.0,101662.0363531216,54066.74496128648,0.5500152123353704,False,0.0,0.0,0.0,86534.5,,0.0,0.46817172957773107,0.5318282704222689,0.0,False
2025-03-25 09:00:00,87221.66,87154.1398072388,-0.07741218495635946,HOLD,regular,0.0,102039.98480642997,54066.74496128648,0.5500152123353704,False,0.0,0.0,0.0,87221.66,,0.0,0.47014158161772374,0.5298584183822762,0.0,False
2025-03-25 12:00:00,87084.02,87074.89938077303,-0.01047335576260107,HOLD,regular,0.0,101964.28071260413,54066.74496128648,0.5500152123353704,False,0.0,0.0,0.0,87084.02,,0.0,0.46974818452671024,0.5302518154732897,0.0,False
2025-03-25 15:00:00,87774.37,88120.87423958103,0.3947669912994312,BUY,strong,0.8368281940136443,102319.79052939432,48940.45201621591,0.6081426561441388,True,9.093759348577594,3.0703195114331954,5.0,87877.68894807092,,-24.19318504552939,0.5216912411274303,0.47830875887256974,0.05,False
2025-03-25 18:00:00,87822.0,88501.47714527126,0.7736980998739034,BUY,regular,0.7368490499369518,102324.56274911584,43813.920247756025,0.6662412892140901,True,9.093950254564259,3.070462690923194,5.0,87925.3710117458,,-24.193614990625065,0.571814244101086,0.428185755898914,0.05,False
2025-03-25 21:00:00,87746.0,88381.75337005968,0.7245382924118287,BUY,regular,0.7122691462059143,102249.74153704075,38691.1328700628,0.7243476473796863,True,9.090957136445423,3.0682178523340666,5.0,87849.3442812716,,-24.186874094812083,0.6216016560193784,0.3783983439806216,0.05,False
2025-03-26 00:00:00,87652.0,88509.34141105444,0.9781196219760415,HOLD,regular,0.0,102181.65285818707,38691.1328700628,0.7243476473796863,False,0.0,0.0,0.0,87652.0,,0.0,0.621349510525531,0.37865048947446894,0.0,False
2025-03-26 03:00:00,87153.51,88489.08134131276,1.5324355167253354,BUY,regular,0.4139979823515797,101796.42676623307,33591.03140717858,0.7825891964541013,True,9.07282291197779,3.0546171839833427,5.0,87256.53588930234,,-24.14603321168397,0.6700175784724,0.3299824215276,0.05,False
2025-03-26 06:00:00,87909.07,88760.81405295209,0.9688921210883957,HOLD,regular,0.0,102387.71985950593,33591.03140717858,0.7825891964541013,False,0.0,0.0,0.0,87909.07,,0.0,0.6719232398839292,0.3280767601160708,0.0,False
2025-03-26 09:00:00,87939.99,88480.56243446021,0.6147060449520244,BUY,regular,0.43116573443946465,102387.71821258869,28461.33905460487,0.8406457535187781,True,9.096476700698412,3.0723575255238087,5.0,88043.44690088918,,-24.199304871595814,0.7220238955270953,0.2779761044729046,0.05,False
