timestamp,price,predicted_price,price_change_pct,signal,signal_type,confidence,portfolio_value,balance,btc_holdings,executed,total_cost,fee,slippage,effective_price,reason_not_executed,portfolio_change,open_positions,stop_loss_price,take_profit_price
2025-03-22 14:00:00,84007.23,81577.93043737859,-2.891774389682187,SELL,regular,0.5783548779364374,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84007.23,,0.0,0,,
2025-03-22 17:00:00,84238.83,83028.43762158549,-1.4368580124089039,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84238.83,,0.0,0,,
2025-03-22 20:00:00,83944.69,85353.4887531024,1.6782464180907657,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83944.69,,0.0,0,,
2025-03-22 23:00:00,83840.59,84531.59555837803,0.8241897610429914,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83840.59,,0.0,0,,
2025-03-23 02:00:00,84233.78,84434.18522139368,0.23791550301278316,HOLD,regular,0.0,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84233.78,,0.0,0,,
2025-03-23 05:00:00,84230.1,85805.46567189664,1.8703120047306576,BUY,regular,0.5643357342794673,99955.5842190171,86517.45943898955,0.15954064853333358,True,17.50454681844961,8.079021608515204,6.7325180070960045,84289.06107,,-44.415780982904835,1,82603.2798486,87660.6235128
2025-03-23 08:00:00,84347.12,85783.31509546717,1.7027197792493418,HOLD,max_positions_reached,0.0,99974.25366570846,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,84347.12,,0.0,1,,
2025-03-23 11:00:00,84679.99,86237.8953787463,1.8397562148345679,HOLD,max_positions_reached,0.0,100027.35996138575,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,84679.99,,0.0,1,,
2025-03-23 14:00:00,84899.76,86076.80417408365,1.386392816756672,HOLD,max_positions_reached,0.0,100062.42220971393,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,84899.76,,0.0,1,,
2025-03-23 17:00:00,85017.66,85654.16608261631,0.748675137161279,HOLD,max_positions_reached,0.0,100081.232052176,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,85017.66,,0.0,1,,
2025-03-23 20:00:00,85102.62,85920.25150760602,0.9607595014184375,HOLD,max_positions_reached,0.0,100094.78662567539,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,85102.62,,0.0,1,,
2025-03-23 23:00:00,86082.5,86146.91515161327,0.07482955491914117,HOLD,max_positions_reached,0.0,100251.11731636024,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,86082.5,,0.0,1,,
2025-03-24 02:00:00,85883.16,86487.71679723353,0.7039293817711488,HOLD,max_positions_reached,0.0,100219.3144834816,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,85883.16,,0.0,1,,
2025-03-24 05:00:00,86899.73,86391.3624174099,-0.5850047895316832,HOLD,max_positions_reached,0.0,100381.49872056114,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,86899.73,,0.0,1,,
2025-03-24 08:00:00,87416.35,85946.07077075637,-1.681927041387149,HOLD,max_positions_reached,0.0,100463.92061040642,86517.45943898955,0.15954064853333358,False,0.0,0.0,0.0,87416.35,,0.0,1,,
2025-03-24 11:00:00,87689.52,86436.90427436598,-1.428466851721874,HOLD,max_positions_reached,0.0,100479.52224358552,100479.52224358552,0.0,False,0.0,0.0,0.0,87689.52,,-27.98008578075678,0,,
2025-03-24 14:00:00,87961.9,86903.80085629757,-1.2029061942754995,BUY,regular,0.5,100438.0920122763,87903.25404077275,0.14250303792327765,True,16.327922364582648,7.535964168268913,6.279970140224095,88023.47333,,-41.43023130921938,1,86263.0038634,91544.41226319999
2025-03-24 17:00:00,88461.88,86821.21537466966,-1.8546571984795572,HOLD,max_positions_reached,0.0,100509.34068117719,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,88461.88,,0.0,1,,
2025-03-24 20:00:00,87832.0,86082.90226949178,-1.9914128455554008,HOLD,max_positions_reached,0.0,100419.58086765007,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87832.0,,0.0,1,,
2025-03-24 23:00:00,87498.16,86397.6233304478,-1.257782643146107,HOLD,max_positions_reached,0.0,100372.00765346977,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87498.16,,0.0,1,,
2025-03-25 02:00:00,86854.94,86005.58938992563,-0.9778955694107541,HOLD,max_positions_reached,0.0,100280.34684941676,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,86854.94,,0.0,1,,
2025-03-25 05:00:00,86656.07,85341.49581042415,-1.5170018552374398,HOLD,max_positions_reached,0.0,100252.00727026495,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,86656.07,,0.0,1,,
2025-03-25 08:00:00,86714.79,85875.21704910121,-0.9682004083718431,HOLD,max_positions_reached,0.0,100260.37504865181,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,86714.79,,0.0,1,,
2025-03-25 11:00:00,87370.43,87113.8925537533,-0.29362044600980697,HOLD,max_positions_reached,0.0,100353.80574043583,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87370.43,,0.0,1,,
2025-03-25 14:00:00,88022.4,87361.46891991612,-0.7508669157894718,HOLD,max_positions_reached,0.0,100446.71344607066,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,88022.4,,0.0,1,,
2025-03-25 17:00:00,87937.27,87501.28023242828,-0.4957963416100159,HOLD,max_positions_reached,0.0,100434.58216245225,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87937.27,,0.0,1,,
2025-03-25 20:00:00,87849.98,87608.5535096353,-0.27481678466483217,HOLD,max_positions_reached,0.0,100422.14307227194,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87849.98,,0.0,1,,
2025-03-25 23:00:00,87392.87,87738.83332298465,0.39587133708350725,HOLD,max_positions_reached,0.0,100357.00350860682,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87392.87,,0.0,1,,
2025-03-26 02:00:00,87324.6,87518.22394303628,0.22172897790116025,HOLD,max_positions_reached,0.0,100347.27482620781,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87324.6,,0.0,1,,
2025-03-26 05:00:00,87520.35,87672.76551394923,0.17414865679721497,HOLD,max_positions_reached,0.0,100375.16979588129,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87520.35,,0.0,1,,
2025-03-26 08:00:00,87959.73,87670.55364455785,-0.32875993985218993,HOLD,max_positions_reached,0.0,100437.782780684,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87959.73,,0.0,1,,
2025-03-26 11:00:00,87954.96,87581.65831412772,-0.4244236889793185,HOLD,max_positions_reached,0.0,100437.10304119311,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87954.96,,0.0,1,,
2025-03-26 14:00:00,86773.14,86691.745291111,-0.09380173275854503,HOLD,max_positions_reached,0.0,100268.69010091462,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,86773.14,,0.0,1,,
2025-03-26 17:00:00,86569.99,87658.54476810776,1.2574273926885733,HOLD,max_positions_reached,0.0,100239.74060876052,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,86569.99,,0.0,1,,
2025-03-26 20:00:00,87280.0,88293.41677588888,1.161109963209074,HOLD,max_positions_reached,0.0,100340.91919071642,87903.25404077275,0.14250303792327765,False,0.0,0.0,0.0,87280.0,,0.0,1,,
