timestamp,price,next_price,predicted_price,price_change_pct,signal,portfolio_value,balance,btc_holdings
2025-03-15 11:00:00,84103.74,84103.74,84103.74,0,HOLD,10000.0,10000.0,0.0
2025-03-16 04:00:00,84408.97,84408.97,84408.97,0,HOLD,10000.0,10000.0,0.0
2025-03-16 21:00:00,82766.52,82766.52,82766.52,0,HOLD,10000.0,10000.0,0.0
2025-03-17 14:00:00,82913.03,82913.03,82913.03,0,HOLD,10000.0,10000.0,0.0
2025-03-18 07:00:00,83163.81,83163.81,83163.81,0,HOLD,10000.0,10000.0,0.0
2025-03-19 00:00:00,83118.0,83118.0,83118.0,0,HOLD,10000.0,10000.0,0.0
2025-03-19 17:00:00,84230.97,84230.97,84230.97,0,HOLD,10000.0,10000.0,0.0
2025-03-20 10:00:00,85173.78,85173.78,85173.78,0,HOLD,10000.0,10000.0,0.0
2025-03-21 03:00:00,84451.96,84451.96,84451.96,0,HOLD,10000.0,10000.0,0.0
2025-03-21 20:00:00,84216.2,84216.2,84216.2,0,HOLD,10000.0,10000.0,0.0
2025-03-22 13:00:00,84168.31,84168.31,84168.31,0,HOLD,10000.0,10000.0,0.0
2025-03-23 06:00:00,84242.24,84242.24,84242.24,0,HOLD,10000.0,10000.0,0.0
2025-03-23 23:00:00,86082.5,86082.5,86082.5,0,SELL,10000.0,10000.0,0.0
2025-03-24 16:00:00,88057.54,88057.54,88057.54,0,HOLD,10000.0,10000.0,0.0
2025-03-25 09:00:00,87221.66,87221.66,87221.66,0,HOLD,10000.0,10000.0,0.0
2025-03-26 02:00:00,87324.6,87324.6,87324.6,0,HOLD,10000.0,10000.0,0.0
2025-03-26 19:00:00,86567.19,86567.19,86567.19,0,HOLD,10000.0,10000.0,0.0
2025-03-27 12:00:00,86761.05,86761.05,86761.05,0,HOLD,10000.0,10000.0,0.0
2025-03-28 05:00:00,86059.02,86059.02,86059.02,0,HOLD,10000.0,10000.0,0.0
2025-03-28 22:00:00,84480.35,84480.35,84480.35,0,HOLD,10000.0,10000.0,0.0
2025-03-29 15:00:00,82414.23,82414.23,82414.23,0,BUY,10000.0,8000.0,0.02426765377775173
2025-03-30 08:00:00,83378.09,83378.09,83378.09,0,HOLD,10023.390620770224,8000.0,0.02426765377775173
2025-03-31 01:00:00,81953.03,81953.03,81953.03,0,HOLD,9988.8077580777,8000.0,0.02426765377775173
2025-03-31 18:00:00,83291.42,83291.42,83291.42,0,HOLD,10021.287343217306,8000.0,0.02426765377775173
2025-04-01 11:00:00,83930.3,83930.3,83930.3,0,HOLD,10036.791461862837,8000.0,0.02426765377775173
2025-04-02 04:00:00,84607.0,84607.0,84607.0,0,HOLD,10053.213383174241,8000.0,0.02426765377775173
2025-04-02 21:00:00,84855.99,84855.99,84855.99,0,HOLD,10059.255786288362,8000.0,0.02426765377775173
2025-04-03 14:00:00,81532.0,81532.0,81532.0,0,HOLD,9978.590347807654,8000.0,0.02426765377775173
2025-04-04 07:00:00,83992.85,83992.85,83992.85,0,HOLD,10038.309403606634,8000.0,0.02426765377775173
2025-04-05 00:00:00,83787.6,83787.6,83787.6,0,HOLD,10033.32846766875,8000.0,0.02426765377775173
2025-04-05 17:00:00,82869.53,82869.53,82869.53,0,HOLD,10011.04906276501,8000.0,0.02426765377775173
2025-04-06 10:00:00,82870.25,82870.25,82870.25,0,HOLD,10011.066535475731,8000.0,0.02426765377775173
2025-04-07 03:00:00,77707.77,77707.77,77707.77,0,BUY,9885.785258201162,6400.0,0.044857615373612734
2025-04-07 20:00:00,78955.26,78955.26,78955.26,0,HOLD,9941.74468480359,6400.0,0.044857615373612734
2025-04-08 13:00:00,79899.9,79899.9,79899.9,0,HOLD,9984.11898259012,6400.0,0.044857615373612734
2025-04-09 06:00:00,76829.02,76829.02,76829.02,0,HOLD,9846.366628691601,6400.0,0.044857615373612734
2025-04-09 23:00:00,82615.22,82615.22,82615.22,0,HOLD,10105.921762766398,6400.0,0.044857615373612734
2025-04-10 16:00:00,79453.82,79453.82,79453.82,0,HOLD,9964.10889752426,6400.0,0.044857615373612734
2025-04-11 09:00:00,82450.0,82450.0,82450.0,0,HOLD,10098.51038755437,6400.0,0.044857615373612734
2025-04-12 02:00:00,82804.87,82804.87,82804.87,0,HOLD,10114.429009522004,6400.0,0.044857615373612734
2025-04-12 19:00:00,84943.4,84943.4,84943.4,0,HOLD,10210.358365726936,6400.0,0.044857615373612734
2025-04-13 12:00:00,84458.75,84458.75,84458.75,0,HOLD,10188.618122436113,6400.0,0.044857615373612734
2025-04-14 05:00:00,84575.18,84575.18,84575.18,0,HOLD,10193.840894594065,6400.0,0.044857615373612734
2025-04-14 22:00:00,84500.01,84500.01,84500.01,0,HOLD,10190.46894764643,6400.0,0.044857615373612734
2025-04-15 15:00:00,84918.14,84918.14,84918.14,0,HOLD,10209.2252623626,6400.0,0.044857615373612734
2025-04-16 08:00:00,83736.79,83736.79,83736.79,0,HOLD,10156.23271844098,6400.0,0.044857615373612734
2025-04-17 01:00:00,84337.99,84337.99,84337.99,0,HOLD,10183.201116803597,6400.0,0.044857615373612734
2025-04-17 18:00:00,84899.71,84899.71,84899.71,0,HOLD,10208.398536511264,6400.0,0.044857615373612734
2025-04-18 11:00:00,84669.11,84669.11,84669.11,0,HOLD,10198.054370406107,6400.0,0.044857615373612734
2025-04-19 04:00:00,85021.9,85021.9,85021.9,0,HOLD,10213.879688533765,6400.0,0.044857615373612734
2025-04-19 21:00:00,85339.53,85339.53,85339.53,0,HOLD,10228.127812904884,6400.0,0.044857615373612734
2025-04-20 14:00:00,84626.16,84626.16,84626.16,0,HOLD,10196.127735825812,6400.0,0.044857615373612734
2025-04-21 07:00:00,87434.78,87434.78,87434.78,0,SELL,10322.115731516447,7184.423146303289,0.035886092298890185
2025-04-22 00:00:00,87709.85,87709.85,87709.85,0,HOLD,10331.986918925102,7184.423146303289,0.035886092298890185
2025-04-22 17:00:00,91396.14,91396.14,91396.14,0,SELL,10464.273462105579,7840.393209463748,0.028708873839112147
2025-04-23 10:00:00,93745.19,93745.19,93745.19,0,HOLD,10531.712042197345,7840.393209463748,0.028708873839112147
2025-04-24 03:00:00,92673.95,92673.95,92673.95,0,HOLD,10500.957948185935,7840.393209463748,0.028708873839112147
2025-04-24 20:00:00,93390.66,93390.66,93390.66,0,HOLD,10521.533885155164,7840.393209463748,0.028708873839112147
2025-04-25 13:00:00,94400.01,94400.01,94400.01,0,HOLD,10550.511186964672,7840.393209463748,0.028708873839112147
2025-04-26 06:00:00,94630.42,94630.42,94630.42,0,HOLD,10557.125998585943,7840.393209463748,0.028708873839112147
2025-04-26 23:00:00,94628.0,94628.0,94628.0,0,HOLD,10557.056523111252,7840.393209463748,0.028708873839112147
2025-04-27 16:00:00,93881.82,93881.82,93881.82,0,HOLD,10535.634535629983,7840.393209463748,0.028708873839112147
2025-04-28 09:00:00,94739.07,94739.07,94739.07,0,HOLD,10560.245217728563,7840.393209463748,0.028708873839112147
2025-04-29 02:00:00,94615.68,94615.68,94615.68,0,HOLD,10556.702829785554,7840.393209463748,0.028708873839112147
2025-04-29 19:00:00,95300.79,95300.79,95300.79,0,HOLD,10576.371566341468,7840.393209463748,0.028708873839112147
2025-04-30 12:00:00,94555.88,94555.88,94555.88,0,HOLD,10554.986039129975,7840.393209463748,0.028708873839112147
2025-05-01 05:00:00,95147.96,95147.96,95147.96,0,HOLD,10571.983989152637,7840.393209463748,0.028708873839112147
2025-05-01 22:00:00,96372.33,96372.33,96372.33,0,HOLD,10607.13427301503,7840.393209463748,0.028708873839112147
2025-05-02 15:00:00,97330.19,97330.19,97330.19,0,HOLD,10634.633354910562,7840.393209463748,0.028708873839112147
2025-05-03 08:00:00,96281.0,96281.0,96281.0,0,HOLD,10604.512291567304,7840.393209463748,0.028708873839112147
2025-05-04 01:00:00,96099.94,96099.94,96099.94,0,HOLD,10599.314262869995,7840.393209463748,0.028708873839112147
2025-05-04 18:00:00,95389.07,95389.07,95389.07,0,HOLD,10578.905985723984,7840.393209463748,0.028708873839112147
2025-05-05 11:00:00,94038.18,94038.18,94038.18,0,HOLD,10540.123455143466,7840.393209463748,0.028708873839112147
2025-05-06 04:00:00,94574.57,94574.57,94574.57,0,HOLD,10555.522607982028,7840.393209463748,0.028708873839112147
2025-05-06 21:00:00,94688.99,94688.99,94688.99,0,HOLD,10558.8074773267,7840.393209463748,0.028708873839112147
2025-05-07 14:00:00,96938.0,96938.0,96938.0,0,HOLD,10623.374021679601,7840.393209463748,0.028708873839112147
2025-05-08 07:00:00,99252.34,99252.34,99252.34,0,SELL,10689.816116760412,8410.27779092308,0.02296709907128972
2025-05-09 00:00:00,102820.0,102820.0,102820.0,0,SELL,10771.754917433089,8882.573216225082,0.018373679257031775
2025-05-09 17:00:00,103199.99,103199.99,103199.99,0,HOLD,10778.73673181397,8882.573216225082,0.018373679257031775
2025-05-10 10:00:00,103593.15,103593.15,103593.15,0,HOLD,10785.960527550664,8882.573216225082,0.018373679257031775
2025-05-11 03:00:00,104007.03,104007.03,104007.03,0,HOLD,10793.565025921564,8882.573216225082,0.018373679257031775
2025-05-11 20:00:00,104269.85,104269.85,104269.85,0,HOLD,10798.393996303897,8882.573216225082,0.018373679257031775
2025-05-12 13:00:00,104319.99,104319.99,104319.99,0,HOLD,10799.315252581844,8882.573216225082,0.018373679257031775
2025-05-13 06:00:00,102552.0,102552.0,102552.0,0,HOLD,10766.830771392204,8882.573216225082,0.018373679257031775
2025-05-13 23:00:00,104103.72,104103.72,104103.72,0,HOLD,10795.341576968927,8882.573216225082,0.018373679257031775
2025-05-14 16:00:00,103363.65,103363.65,103363.65,0,HOLD,10781.743768161175,8882.573216225082,0.018373679257031775
2025-05-15 09:00:00,101823.39,101823.39,101823.39,0,HOLD,10753.44352494874,8882.573216225082,0.018373679257031775
2025-05-16 02:00:00,104199.8,104199.8,104199.8,0,HOLD,10797.106920071943,8882.573216225082,0.018373679257031775
2025-05-16 19:00:00,104032.6,104032.6,104032.6,0,HOLD,10794.034840900167,8882.573216225082,0.018373679257031775
2025-05-17 12:00:00,102927.57,102927.57,102927.57,0,HOLD,10773.731374110768,8882.573216225082,0.018373679257031775
2025-05-18 05:00:00,103648.2,103648.2,103648.2,0,HOLD,10786.971998593763,8882.573216225082,0.018373679257031775
2025-05-18 22:00:00,105928.1,105928.1,105928.1,0,HOLD,10828.86214993187,8882.573216225082,0.018373679257031775
2025-05-19 15:00:00,104786.41,104786.41,104786.41,0,HOLD,10807.88510406091,8882.573216225082,0.018373679257031775
2025-05-20 08:00:00,105223.01,105223.01,105223.01,0,HOLD,10815.907052424529,8882.573216225082,0.018373679257031775
2025-05-21 01:00:00,106500.0,106500.0,106500.0,0,HOLD,10839.370057098966,8882.573216225082,0.018373679257031775
2025-05-21 18:00:00,106965.05,106965.05,106965.05,0,HOLD,10847.91473663745,8882.573216225082,0.018373679257031775
2025-05-22 11:00:00,110981.97,110981.97,110981.97,0,HOLD,10921.720336318605,8882.573216225082,0.018373679257031775
2025-05-23 04:00:00,110844.19,110844.19,110844.19,0,HOLD,10919.18881079057,8882.573216225082,0.018373679257031775
2025-05-23 21:00:00,108282.89,108282.89,108282.89,0,HOLD,10872.128306109536,8882.573216225082,0.018373679257031775
2025-05-24 14:00:00,108959.09,108959.09,108959.09,0,HOLD,10884.55258802314,8882.573216225082,0.018373679257031775
2025-05-25 07:00:00,107681.81,107681.81,107681.81,0,HOLD,10861.084254981719,8882.573216225082,0.018373679257031775
2025-05-26 00:00:00,109540.46,109540.46,109540.46,0,HOLD,10895.234493932801,8882.573216225082,0.018373679257031775
2025-05-26 17:00:00,109171.91,109171.91,109171.91,0,HOLD,10888.462874442623,8882.573216225082,0.018373679257031775
2025-05-27 10:00:00,109677.74,109677.74,109677.74,0,HOLD,10897.756832621206,8882.573216225082,0.018373679257031775
