timestamp,price,predicted_price,price_change_pct,signal,signal_type,confidence,portfolio_value,balance,btc_holdings,borrowed_btc,executed,total_cost,fee,slippage,effective_price,reason_not_executed,portfolio_change,open_positions,long_positions,short_positions,stop_loss_price,take_profit_price,rsi,macd,macd_signal,pnl,pnl_pct,close_reason,position_type,entry_price
2025-02-22 02:00:00,96343.22,85794.53846823145,-10.949064741419846,SELL,market_sell,0.6,100000.0,100000.0,0.0,0,False,0.0,0.0,0.0,96343.22,,0.0,0,0,0,,,,,,0,0,,,
2025-02-22 15:00:00,96592.0,95364.00409744652,-1.2713225759415656,HOLD,regular,0.0,100000.0,100000.0,0.0,0,False,0.0,0.0,0.0,96592.0,,0.0,0,0,0,,,57.930208278839224,,,0,0,,,
2025-02-23 04:00:00,96395.88,97859.46608598102,1.5183077181110023,BUY,regular,0.45549231543330065,99976.9301028661,88157.55774147871,0.1226128374095178,0,True,10.057527021774584,7.099430838899706,0.5916192365749756,96419.97897000001,,-23.069897133900668,1,1,0,94973.67928545001,100276.77812880001,45.38352492163924,7.308587188046658,,0,0,,,
2025-02-23 17:00:00,95656.78,97901.12061738045,2.346243117717797,BUY,regular,0.75,99854.65994377415,71912.23606518588,0.29211127406325277,0,True,13.79679614812301,9.73891492808683,0.8115762440072359,95680.694195,,-31.647010962566128,2,2,0,94245.483782075,99507.92196280001,37.41246211109906,-238.28519547545875,-152.09095619304242,0,0,,,
2025-02-24 06:00:00,95864.31,97601.38740146077,1.8120167990159988,HOLD,max_positions_reached,0.0,99915.2817964805,71912.23606518588,0.29211127406325277,0,False,0.0,0.0,0.0,95864.31,,0.0,2,2,0,,,48.847516148685024,-131.34088264405727,-139.83234608573912,0,0,,,
2025-02-24 19:00:00,93943.51,95932.29829175612,2.117004454864548,HOLD,max_positions_reached,0.0,99501.30912442804,99501.30912442804,1.3877787807814457e-17,0,False,0.0,0.0,0.0,93943.51,,147.11466316823498,0,0,0,,,28.247238199271166,-446.25403466781427,-289.5505746290127,0,0,,,
2025-02-25 08:00:00,89400.53,92359.32911773611,3.309599079262853,BUY,strong,0.8288498780668423,99462.5090850737,79584.13207699127,0.22235189218769097,0,True,16.915222551152766,11.940157094931365,0.9950130912442805,89422.88013250001,,-38.80003935433342,1,1,0,88081.5369305125,92999.79533780001,18.172518289973652,-1314.852290771014,-1015.785031471576,0,0,,,
2025-02-25 21:00:00,88821.0,90007.2901693678,1.3355965023674576,BUY,regular,0.5506789507102373,99122.05151569023,85989.34407890095,0.14785588359497506,0,True,11.175090848822705,7.88829942269838,0.6573582852248652,88843.20525000001,,-211.59797730394348,1,1,0,87510.55717125001,92396.93346000001,41.294465999441066,-1410.3336349873862,-1579.6842504682752,0,0,,,
2025-02-26 10:00:00,89262.66,90644.15860261385,1.5476780577834566,BUY,regular,0.6143034173350369,99159.86429893931,71878.32268411903,0.30563218276063336,0,True,11.98418163117813,8.459422327890444,0.7049518606575371,89284.975665,,-27.48924629947578,2,2,0,87945.70103002501,92856.37469160001,50.39230974668586,-381.48665232239,-649.2939370516656,0,0,,,
2025-02-26 23:00:00,84250.09,89067.43944537926,5.717916082201534,HOLD,max_positions_reached,0.0,98663.52450682002,98663.52450682002,0.0,0,False,0.0,0.0,0.0,84250.09,,1035.6629182211764,0,0,0,,,27.89905328568676,-1329.2274336924456,-1069.3069726275253,0,0,,,
2025-02-27 12:00:00,86330.59,88542.08431954855,2.561657831307019,HOLD,regular,0.0,98663.52450682002,98663.52450682002,0.0,0,False,0.0,0.0,0.0,86330.59,,0.0,0,0,0,,,49.93107381586606,-213.49329331073386,-536.8379656150929,0,0,,,
2025-02-28 01:00:00,81661.55,87265.54334100758,6.862462616748734,HOLD,regular,0.0,98663.52450682002,98663.52450682002,0.0,0,False,0.0,0.0,0.0,81661.55,,0.0,0,0,0,,,28.162663129389188,-749.0124856381008,-571.0849592789059,0,0,,,
2025-02-28 14:00:00,82105.05,88283.77354299677,7.525387954817359,HOLD,regular,0.0,98663.52450682002,98663.52450682002,0.0,0,False,0.0,0.0,0.0,82105.05,,0.0,0,0,0,,,49.22842109360222,-1057.8986717038206,-1332.186297545386,0,0,,,
2025-03-01 03:00:00,85330.84,87925.07309271033,3.040205736531285,HOLD,regular,0.0,98663.52450682002,98663.52450682002,0.0,0,False,0.0,0.0,0.0,85330.84,,0.0,0,0,0,,,63.710288077596076,573.2894073006173,253.92473321385816,0,0,,,
2025-03-01 16:00:00,85274.82,88203.86956179359,3.4348352324796245,HOLD,regular,0.0,98663.52450682002,98663.52450682002,0.0,0,False,0.0,0.0,0.0,85274.82,,0.0,0,0,0,,,57.94889961694686,372.57088985617156,449.6810031628447,0,0,,,
