iter	RMSE
130	2439.682822
131	2420.862293
132	2399.628499
133	2385.479539
134	2367.995899
135	2350.199235
136	2332.678455
137	2316.604895
138	2301.2176
139	2286.08088
140	2271.065165
141	2256.261692
142	2241.964211
143	2225.935219
144	2211.656481
145	2197.760127
146	2181.898652
147	2169.69281
148	2158.288413
149	2145.575531
150	2135.089193
151	2123.580567
152	2113.405162
153	2103.250863
154	2093.60733
155	2082.982182
156	2073.382407
157	2062.590496
158	2052.968039
159	2040.861491
160	2030.462276
161	2021.511329
162	2012.436291
163	2004.822639
164	1997.622005
165	1989.361493
166	1980.374451
167	1970.451054
168	1964.112303
169	1955.941818
170	1948.13075
171	1940.858847
172	1933.85692
173	1927.404847
174	1920.690035
175	1911.538382
176	1905.402278
177	1896.776715
178	1889.117857
179	1878.762168
180	1870.454732
181	1865.128292
182	1859.462321
183	1855.64646
184	1851.265768
185	1846.169349
186	1841.515874
187	1836.446631
188	1832.436041
189	1828.02331
190	1824.198504
191	1820.408628
192	1816.319551
193	1811.963754
194	1804.630955
195	1798.90354
196	1790.742047
197	1786.258905
198	1783.390031
199	1778.940152
200	1774.989822
201	1771.994833
202	1769.140068
203	1766.181568
204	1762.355225
205	1760.032126
206	1757.206669
207	1753.749778
208	1749.257173
209	1744.289108
210	1739.892913
211	1736.70197
212	1733.365052
213	1731.416015
214	1728.277209
215	1725.795513
216	1723.202087
217	1721.407023
218	1717.210482
219	1714.280057
220	1711.03412
221	1706.966069
222	1704.254517
223	1701.780866
224	1698.289811
225	1695.825611
226	1693.961083
227	1692.230292
228	1687.629707
229	1685.611135
230	1683.015437
231	1681.017395
232	1678.025266
233	1675.936505
234	1673.487163
235	1672.059976
236	1669.813487
237	1667.465319
238	1666.293418
239	1664.863666
240	1663.056366
241	1660.813695
242	1657.828418
243	1656.053664
244	1653.45449
245	1651.220575
246	1649.267336
247	1647.376847
248	1645.345926
249	1643.748754
250	1642.227343
251	1639.853858
252	1638.121284
253	1634.391132
254	1632.229756
255	1629.871373
256	1628.370511
257	1625.062652
258	1623.267328
259	1621.341223
260	1620.211016
261	1618.503038
262	1615.13635
263	1614.127919
264	1612.812107
265	1610.135472
266	1609.07921
267	1606.145885
268	1605.175926
269	1604.460109
270	1601.520461
271	1600.46063
272	1597.884793
273	1593.962783
274	1592.923791
275	1591.114371
276	1589.909309
277	1589.015296
278	1587.307064
279	1586.127292
280	1584.283632
281	1581.137142
282	1580.248522
283	1579.278916
284	1577.084544
285	1576.336883
286	1574.655755
287	1573.662409
288	1572.740521
289	1572.113699
290	1570.966413
291	1569.524014
292	1568.53946
293	1566.494656
294	1565.822344
295	1563.629922
296	1560.207291
297	1557.690095
298	1555.168406
299	1553.263725
300	1551.73737
301	1549.468393
302	1548.483622
303	1545.833269
304	1544.979799
305	1543.819051
306	1541.878382
307	1540.287513
308	1538.130382
309	1537.346876
310	1536.347731
311	1535.394119
312	1534.003396
313	1531.446825
314	1529.473242
315	1528.93599
316	1527.382942
317	1526.67725
318	1525.512529
319	1524.668418
320	1523.560971
321	1522.710362
322	1521.600452
323	1520.269058
324	1519.055933
325	1518.044252
326	1516.664673
327	1515.530239
328	1515.203726
329	1513.756094
330	1512.884345
331	1511.959417
332	1510.173444
333	1508.764898
334	1507.227773
335	1506.575296
336	1505.562162
337	1504.103508
338	1503.635201
339	1503.018543
340	1502.37352
341	1501.12601
342	1499.802575
343	1498.962685
344	1497.982989
345	1496.504054
346	1495.619141
347	1494.00884
348	1493.125852
349	1491.724765
350	1491.030477
351	1489.994267
352	1489.418548
353	1488.485646
354	1486.187448
355	1485.662836
356	1484.790628
357	1483.790466
358	1483.309661
359	1482.474026
360	1481.255951
361	1480.056885
362	1478.814663
363	1477.802943
364	1477.187692
365	1476.58233
366	1475.51744
367	1474.488214
368	1473.823415
369	1473.488145
370	1472.263915
371	1471.558397
372	1470.991969
373	1470.025384
374	1467.592711
375	1465.949124
376	1464.82358
377	1463.935585
378	1463.157343
379	1462.108566
380	1460.628211
381	1459.187506
382	1457.966671
383	1456.866078
384	1455.729248
385	1454.637868
386	1453.711052
387	1452.962727
388	1452.438537
389	1451.754579
390	1450.801992
391	1449.852321
392	1448.922986
393	1447.03463
394	1445.961901
395	1445.007889
396	1444.388105
397	1442.257635
398	1441.540517
399	1439.809501
400	1438.688579
401	1436.813345
402	1435.937964
403	1435.692891
404	1434.849293
405	1433.663593
406	1431.400275
407	1430.432534
408	1428.368026
409	1426.269615
410	1424.56574
411	1423.75123
412	1422.574116
413	1420.868891
414	1420.072835
415	1418.352366
416	1417.337707
417	1415.741414
418	1414.466724
419	1413.50484
420	1412.324702
421	1410.628279
422	1408.505826
423	1407.271123
424	1406.694633
425	1403.951879
426	1402.613757
427	1401.122595
428	1399.405154
429	1398.548857
430	1397.515644
431	1397.002102
432	1395.932753
433	1394.859583
434	1393.35698
435	1392.665452
436	1391.949276
437	1390.13563
438	1389.019288
439	1387.564306
440	1386.771764
441	1386.095549
442	1385.73935
443	1384.072505
444	1381.911356
445	1380.179317
446	1379.292049
447	1378.6207
448	1377.329679
449	1376.061593
450	1374.874026
451	1373.968336
452	1372.192495
453	1371.134832
454	1370.260635
455	1369.392961
456	1368.17836
457	1367.776402
458	1366.610667
459	1365.422477
460	1364.003932
461	1363.133827
462	1361.635253
463	1360.355712
464	1359.315667
465	1358.347486
466	1357.181757
467	1356.051134
468	1354.206484
469	1353.589011
470	1352.091577
471	1350.936627
472	1349.745368
473	1348.361896
474	1347.11916
475	1346.285966
476	1345.322976
477	1342.610088
478	1341.416062
479	1340.512158
480	1339.687646
481	1337.683688
482	1335.729113
483	1335.169468
484	1333.487238
485	1331.347907
486	1330.390527
487	1329.105203
488	1327.50286
489	1326.011758
490	1324.069889
491	1323.312145
492	1321.463835
493	1320.67097
494	1319.247741
495	1318.014173
496	1316.34678
497	1315.062904
498	1314.241489
499	1313.178748
